datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex,name
2010-01-01,68.6,51.8,61.9,91.1,0.648,100,33.33,rain,13.1,1017.4,4,desoto fl
2010-01-02,60.8,41.7,50.6,61.3,0.023,100,4.17,rain,17.0,1021.2,7,desoto fl
2010-01-03,48.0,40.0,44.5,58.1,0.0,0,0.0,,11.3,1020.9,3,desoto fl
2010-01-04,55.5,36.1,45.3,58.2,0.0,0,0.0,,12.8,1020.8,7,desoto fl
2010-01-05,51.9,36.3,44.4,73.3,0.001,100,4.17,rain,16.6,1022.9,6,desoto fl
2010-01-06,54.0,31.4,42.0,67.7,0.0,0,0.0,,13.9,1024.3,7,desoto fl
2010-01-07,60.5,33.9,45.2,61.7,0.0,0,0.0,,9.1,1023.0,7,desoto fl
2010-01-08,68.5,39.1,52.8,75.9,0.015,100,8.33,rain,12.2,1019.2,6,desoto fl
2010-01-09,49.6,34.3,39.6,87.3,0.256,100,54.17,rain,13.8,1022.5,3,desoto fl
2010-01-10,48.0,32.4,37.8,57.5,0.0,0,0.0,,16.6,1028.3,5,desoto fl
2010-01-11,55.3,28.8,40.1,57.1,0.0,0,0.0,,10.8,1030.4,8,desoto fl
2010-01-12,62.1,31.6,46.2,70.6,0.0,0,0.0,,13.9,1027.6,7,desoto fl
2010-01-13,62.0,35.0,47.6,66.2,0.0,0,0.0,,8.6,1026.8,7,desoto fl
2010-01-14,71.6,40.6,55.9,62.2,0.0,0,0.0,,10.9,1024.3,7,desoto fl
2010-01-15,75.8,50.1,63.3,76.7,0.0,0,0.0,,11.6,1021.6,7,desoto fl
2010-01-16,80.3,62.6,70.2,79.3,0.016,100,4.17,rain,18.1,1017.1,7,desoto fl
2010-01-17,75.5,62.7,69.4,81.5,0.04,100,8.33,rain,17.6,1015.0,6,desoto fl
2010-01-18,70.9,53.6,61.0,78.1,0.0,0,0.0,,13.6,1018.7,7,desoto fl
2010-01-19,67.3,48.9,57.4,80.5,0.0,0,0.0,,10.0,1019.6,7,desoto fl
2010-01-20,76.1,48.9,60.7,73.6,0.007,100,4.17,rain,6.9,1017.0,7,desoto fl
2010-01-21,80.8,59.3,70.6,83.4,0.0,0,0.0,,23.5,1012.7,7,desoto fl
2010-01-22,74.0,66.7,70.9,94.4,0.048,100,8.33,rain,15.4,1011.8,7,desoto fl
2010-01-23,78.0,60.6,68.6,85.8,0.012,100,8.33,rain,13.0,1013.7,6,desoto fl
2010-01-24,83.8,65.5,73.4,80.4,0.0,0,0.0,,22.2,1011.2,7,desoto fl
2010-01-25,75.1,52.6,68.2,72.3,0.297,100,12.5,rain,21.3,1012.2,6,desoto fl
2010-01-26,69.7,49.1,58.3,68.1,0.007,100,4.17,rain,13.4,1021.7,8,desoto fl
2010-01-27,71.1,44.0,55.6,63.4,0.007,100,4.17,rain,13.0,1024.8,8,desoto fl
2010-01-28,75.1,46.0,59.7,67.6,0.0,0,0.0,,9.8,1023.8,8,desoto fl
2010-01-29,77.2,52.8,63.9,77.1,0.0,0,0.0,,9.9,1018.8,7,desoto fl
2010-01-30,78.1,58.8,68.0,85.2,0.002,100,4.17,rain,20.5,1013.2,5,desoto fl
2010-01-31,65.2,56.3,59.4,82.8,0.0,0,0.0,,16.6,1017.2,6,desoto fl
2010-02-01,66.8,54.3,61.0,91.5,0.331,100,33.33,rain,11.4,1018.4,2,desoto fl
2010-02-02,72.7,57.9,66.0,93.7,0.336,100,33.33,rain,9.9,1014.9,5,desoto fl
2010-02-03,66.9,53.7,57.8,83.8,0.0,0,0.0,,13.3,1018.6,8,desoto fl
2010-02-04,77.4,51.8,64.1,75.2,0.0,0,0.0,,16.1,1018.4,8,desoto fl
2010-02-05,80.0,64.0,68.9,86.1,0.507,100,16.67,rain,22.3,1011.9,3,desoto fl
2010-02-06,69.4,57.9,63.2,77.4,0.01,100,8.33,rain,23.5,1010.3,7,desoto fl
2010-02-07,60.6,46.7,54.4,69.3,0.0,0,0.0,,12.9,1015.0,8,desoto fl
2010-02-08,66.0,40.2,52.5,71.4,0.0,0,0.0,,9.4,1017.7,8,desoto fl
2010-02-09,75.8,53.8,63.8,82.4,0.087,100,16.67,rain,21.1,1013.2,6,desoto fl
2010-02-10,61.3,44.9,54.9,60.7,0.0,0,0.0,,15.9,1016.3,8,desoto fl
2010-02-11,62.0,38.5,49.8,48.7,0.108,100,12.5,rain,10.3,1017.2,7,desoto fl
2010-02-12,70.4,50.5,58.2,69.9,0.477,100,20.83,rain,24.3,1008.0,6,desoto fl
2010-02-13,55.7,43.5,50.6,68.1,0.0,0,0.0,,15.5,1014.8,8,desoto fl
2010-02-14,56.1,39.0,47.7,58.9,0.0,0,0.0,,10.1,1019.3,8,desoto fl
2010-02-15,67.4,39.1,53.3,71.1,0.0,0,0.0,,14.4,1016.3,8,desoto fl
2010-02-16,61.2,47.1,54.1,65.5,0.0,0,0.0,,20.8,1017.9,9,desoto fl
2010-02-17,62.1,41.4,50.7,72.5,0.0,0,0.0,,18.8,1019.2,7,desoto fl
2010-02-18,60.9,44.5,50.9,67.1,0.0,0,0.0,,14.6,1021.6,7,desoto fl
2010-02-19,63.1,43.3,52.6,61.0,0.0,0,0.0,,9.3,1021.9,5,desoto fl
2010-02-20,71.7,51.9,60.2,62.4,0.0,0,0.0,,8.6,1020.3,5,desoto fl
2010-02-21,77.0,49.8,63.3,71.3,0.011,100,4.17,rain,13.4,1017.4,7,desoto fl
2010-02-22,78.7,60.6,68.9,78.3,0.003,100,4.17,rain,19.6,1009.6,4,desoto fl
2010-02-23,78.8,62.1,68.9,83.5,0.0,0,0.0,,9.2,1007.8,8,desoto fl
2010-02-24,75.1,53.9,63.8,84.4,0.13,100,12.5,rain,18.7,1008.7,5,desoto fl
2010-02-25,61.2,44.9,52.8,54.1,0.0,0,0.0,,21.4,1017.1,9,desoto fl
2010-02-26,64.3,39.9,50.9,51.9,0.0,0,0.0,,13.1,1018.0,9,desoto fl
2010-02-27,55.1,41.9,48.5,83.7,0.06,100,25.0,rain,17.0,1012.1,5,desoto fl
2010-02-28,66.3,45.7,54.7,63.8,0.034,100,4.17,rain,18.1,1017.0,9,desoto fl
