datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex,name
2010-01-01,72.8,48.8,61.8,82.9,0.0,0,0.0,,19.2,,3,highlands fl
2010-01-02,59.6,38.6,47.7,82.9,0.0,0,0.0,,15.4,,7,highlands fl
2010-01-03,50.1,35.3,42.1,82.9,0.0,0,0.0,,10.5,,3,highlands fl
2010-01-04,55.3,31.9,42.4,57.7,0.0,0,0.0,,11.9,,7,highlands fl
2010-01-05,52.8,32.6,41.8,34.3,0.0,0,0.0,,14.8,,7,highlands fl
2010-01-06,52.8,27.8,38.8,61.6,0.0,0,0.0,,13.6,,7,highlands fl
2010-01-07,62.5,28.3,42.7,59.5,0.0,0,0.0,,8.1,,7,highlands fl
2010-01-08,69.7,35.5,52.8,71.0,0.0,0,0.0,,12.1,,6,highlands fl
2010-01-09,46.3,30.8,38.9,89.6,0.0,0,0.0,,16.1,,3,highlands fl
2010-01-10,46.1,27.6,35.2,67.2,0.0,0,0.0,,18.1,,6,highlands fl
2010-01-11,57.1,23.8,37.5,61.6,0.0,0,0.0,,10.3,,7,highlands fl
2010-01-12,62.5,30.1,45.1,65.5,0.0,0,0.0,,13.9,,7,highlands fl
2010-01-13,61.1,31.9,46.7,75.9,0.0,0,0.0,,9.6,,7,highlands fl
2010-01-14,69.9,41.1,54.3,66.3,0.0,0,0.0,,7.4,,6,highlands fl
2010-01-15,75.3,51.5,62.4,66.3,0.0,0,0.0,,10.7,,7,highlands fl
2010-01-16,78.3,59.6,68.1,66.3,0.0,0,0.0,,19.5,,7,highlands fl
2010-01-17,75.8,57.3,67.9,66.3,0.0,0,0.0,,18.8,,6,highlands fl
2010-01-18,70.6,51.2,59.1,66.3,0.0,0,0.0,,13.0,,7,highlands fl
2010-01-19,69.0,45.8,56.6,66.3,0.0,0,0.0,,6.3,,7,highlands fl
2010-01-20,74.4,47.0,59.9,63.8,0.0,0,0.0,,6.9,,7,highlands fl
2010-01-21,80.9,56.9,68.6,56.4,0.0,0,0.0,,18.1,,6,highlands fl
2010-01-22,80.3,64.8,71.4,61.5,0.056,100,16.67,rain,17.7,,6,highlands fl
2010-01-23,77.3,58.9,67.6,56.4,0.0,0,0.0,,11.4,,6,highlands fl
2010-01-24,80.1,64.3,71.6,56.4,0.0,0,0.0,,18.6,,7,highlands fl
2010-01-25,73.5,49.4,65.9,56.4,0.0,0,0.0,,19.2,,5,highlands fl
2010-01-26,68.1,40.9,54.3,52.5,0.0,0,0.0,,11.4,,8,highlands fl
2010-01-27,68.1,42.3,53.8,28.1,0.0,0,0.0,,11.2,,8,highlands fl
2010-01-28,73.5,45.8,58.5,28.1,0.0,0,0.0,,10.7,,8,highlands fl
2010-01-29,76.4,54.1,64.3,28.1,0.0,0,0.0,,8.1,,6,highlands fl
2010-01-30,78.3,59.8,68.5,28.1,0.0,0,0.0,,17.2,,5,highlands fl
2010-01-31,66.6,56.4,60.8,28.1,0.0,0,0.0,,14.3,,6,highlands fl
2010-02-01,67.0,58.0,63.3,28.1,0.0,0,0.0,,13.2,,1,highlands fl
2010-02-02,75.8,58.2,66.7,28.1,0.0,0,0.0,,13.0,,4,highlands fl
2010-02-03,69.9,49.4,58.3,28.1,0.0,0,0.0,,12.1,,8,highlands fl
2010-02-04,76.2,52.6,64.4,28.1,0.0,0,0.0,,12.3,,7,highlands fl
2010-02-05,76.2,62.5,68.9,30.9,0.0,0,0.0,,19.7,,3,highlands fl
2010-02-06,70.2,51.5,60.5,94.0,0.0,0,0.0,,22.8,,7,highlands fl
2010-02-07,60.3,44.5,52.8,90.5,0.0,0,0.0,,13.4,,8,highlands fl
2010-02-08,69.7,37.3,51.9,74.5,0.0,0,0.0,,6.9,,8,highlands fl
2010-02-09,75.6,51.7,63.4,98.4,0.0,0,0.0,,21.5,,7,highlands fl
2010-02-10,62.1,41.6,53.4,100.0,0.0,0,0.0,,18.6,,8,highlands fl
2010-02-11,58.9,36.8,47.6,100.0,0.0,0,0.0,,12.5,,7,highlands fl
2010-02-12,71.0,44.9,57.8,100.0,0.0,0,0.0,,22.6,,5,highlands fl
2010-02-13,57.5,40.4,48.8,100.0,0.0,0,0.0,,17.9,,8,highlands fl
2010-02-14,58.2,38.7,46.8,100.0,0.0,0,0.0,,9.8,,7,highlands fl
2010-02-15,69.5,38.6,53.9,100.0,0.0,0,0.0,,10.7,,8,highlands fl
2010-02-16,61.6,41.3,53.0,100.0,0.0,0,0.0,,15.9,,9,highlands fl
2010-02-17,59.8,38.2,48.3,100.0,0.0,0,0.0,,17.0,,7,highlands fl
2010-02-18,62.0,38.7,49.5,100.0,0.0,0,0.0,,13.6,,8,highlands fl
2010-02-19,62.5,40.2,50.7,100.0,0.0,0,0.0,,8.3,,5,highlands fl
2010-02-20,70.2,42.9,56.6,100.0,0.0,0,0.0,,7.6,,7,highlands fl
2010-02-21,76.4,49.9,63.2,100.0,0.0,0,0.0,,8.3,,8,highlands fl
2010-02-22,71.3,57.5,65.2,100.0,0.0,0,0.0,,16.3,,3,highlands fl
2010-02-23,78.9,58.0,67.2,100.0,0.0,0,0.0,,10.1,,7,highlands fl
2010-02-24,75.5,53.3,65.2,100.0,0.0,0,0.0,,21.0,,4,highlands fl
2010-02-25,62.3,40.2,51.0,100.0,0.0,0,0.0,,18.6,,9,highlands fl
2010-02-26,64.7,34.2,48.2,100.0,0.0,0,0.0,,12.5,,9,highlands fl
2010-02-27,67.2,38.2,51.5,100.0,0.0,0,0.0,,14.3,,6,highlands fl
2010-02-28,66.5,41.3,51.9,100.0,0.0,0,0.0,,14.3,,9,highlands fl
2010-03-01,69.7,38.7,53.1,100.0,0.0,0,0.0,,6.9,,9,highlands fl
2010-03-02,72.9,48.1,60.7,100.0,0.0,0,0.0,,24.6,,7,highlands fl
2010-03-03,59.8,42.2,52.2,100.0,0.0,0,0.0,,20.8,,7,highlands fl
2010-03-04,62.3,39.1,48.6,100.0,0.0,0,0.0,,17.2,,9,highlands fl
2010-03-05,64.3,34.1,48.5,100.0,0.0,0,0.0,,10.7,,9,highlands fl
2010-03-06,67.2,38.9,51.9,100.0,0.0,0,0.0,,10.7,,9,highlands fl
2010-03-07,70.8,39.6,55.1,100.0,0.0,0,0.0,,11.0,,9,highlands fl
2010-03-08,73.7,48.3,59.9,100.0,0.0,0,0.0,,5.8,,9,highlands fl
2010-03-09,73.3,51.7,62.9,73.8,0.0,0,0.0,,9.2,,6,highlands fl
2010-03-10,80.5,49.9,66.1,72.2,0.0,0,0.0,,12.8,,9,highlands fl
2010-03-11,76.9,62.9,70.7,84.3,0.117,100,12.5,rain,18.3,,3,highlands fl
2010-03-12,69.7,65.2,67.6,88.6,0.0,0,0.0,,12.5,,3,highlands fl
2010-03-13,71.3,55.1,62.6,88.6,0.0,0,0.0,,19.7,,9,highlands fl
2010-03-14,72.1,51.5,61.8,88.6,0.0,0,0.0,,17.4,,9,highlands fl
2010-03-15,73.7,50.4,61.6,88.6,0.0,0,0.0,,20.1,,9,highlands fl
