datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex,name
2010-01-01,75.0,68.0,70.9,89.8,0.157,100,8.33,0,10.8,1014.2,8.0,sao paulo
2010-01-02,82.2,68.0,72.4,88.6,2.363,100,12.5,0,7.9,1016.4,8.0,sao paulo
2010-01-03,84.6,71.3,76.1,81.0,0.0,0,0.0,-1,12.4,1018.3,8.0,sao paulo
2010-01-04,87.7,71.2,75.9,77.7,0.78,100,8.33,0,12.4,1018.1,5.0,sao paulo
2010-01-05,87.8,69.8,77.0,76.6,0.709,100,4.17,0,11.2,1015.0,6.0,sao paulo
2010-01-06,84.3,69.7,74.5,77.6,0.039,100,4.17,0,12.4,1012.6,6.0,sao paulo
2010-01-07,82.4,69.8,74.6,81.5,0.0,0,0.0,-1,9.6,1013.7,4.0,sao paulo
2010-01-08,81.6,71.5,73.8,86.2,1.059,100,8.33,0,8.3,1016.1,4.0,sao paulo
2010-01-09,88.7,69.7,76.4,77.7,1.22,100,4.17,0,10.1,1016.5,8.0,sao paulo
2010-01-10,89.6,73.2,80.1,67.1,0.0,0,0.0,-1,12.5,1015.3,5.0,sao paulo
2010-01-11,87.6,66.2,77.5,71.2,1.728,100,4.17,0,12.6,1015.0,8.0,sao paulo
2010-01-12,86.9,69.5,77.8,66.0,0.0,0,0.0,-1,11.0,1014.8,6.0,sao paulo
2010-01-13,86.7,73.1,79.2,62.8,0.201,100,4.17,0,17.0,1015.4,8.0,sao paulo
2010-01-14,78.4,71.5,74.9,77.1,0.138,100,8.33,0,13.0,1015.9,7.0,sao paulo
2010-01-15,73.3,68.0,70.4,79.5,0.331,100,8.33,0,11.5,1020.3,6.0,sao paulo
2010-01-16,79.7,66.2,72.1,76.2,0.39,100,4.17,0,7.9,1020.8,6.0,sao paulo
2010-01-17,83.4,68.0,75.2,76.1,0.712,100,12.5,0,8.8,1020.3,8.0,sao paulo
2010-01-18,85.2,69.7,75.6,77.8,1.929,100,4.17,0,12.8,1018.2,7.0,sao paulo
2010-01-19,87.0,69.7,76.0,75.0,1.729,100,8.33,0,15.4,1016.2,5.0,sao paulo
2010-01-20,87.8,68.0,77.1,71.7,0.39,100,4.17,0,21.0,1014.4,9.0,sao paulo
2010-01-21,82.6,68.1,73.7,81.1,3.512,100,8.33,0,20.8,1014.8,7.0,sao paulo
2010-01-22,74.4,68.2,71.5,80.9,0.051,100,8.33,0,10.7,1016.2,8.0,sao paulo
2010-01-23,81.3,69.0,72.2,83.2,0.799,100,12.5,0,8.5,1016.5,8.0,sao paulo
2010-01-24,79.6,66.1,70.6,85.7,0.941,100,12.5,0,10.0,1016.4,9.0,sao paulo
2010-01-25,78.8,66.9,71.1,87.2,0.39,100,4.17,0,10.2,1016.0,6.0,sao paulo
2010-01-26,79.6,66.2,70.3,86.7,0.161,100,4.17,0,10.9,1015.5,7.0,sao paulo
2010-01-27,83.5,65.1,73.6,77.1,1.378,100,4.17,0,10.8,1014.3,7.0,sao paulo
2010-01-28,79.8,69.9,73.2,84.1,0.831,100,12.5,0,10.3,1014.8,4.0,sao paulo
2010-01-29,76.2,68.0,70.8,87.0,0.236,100,12.5,0,6.8,1016.0,4.0,sao paulo
2010-01-30,77.7,69.7,72.4,83.6,0.0,0,0.0,-1,9.2,1018.8,3.0,sao paulo
2010-01-31,87.8,69.7,75.0,76.8,0.079,100,4.17,0,8.6,1019.3,8.0,sao paulo
2010-02-01,89.6,65.9,75.3,73.0,0.118,100,4.17,0,11.8,1019.0,9.0,sao paulo
2010-02-02,90.3,67.4,76.3,70.6,0.0,0,0.0,-1,15.0,1018.3,8.0,sao paulo
2010-02-03,90.3,69.4,77.5,70.7,0.079,100,4.17,0,29.1,1017.0,10.0,sao paulo
2010-02-04,89.8,70.4,77.4,74.0,2.339,100,8.33,0,13.7,1016.7,9.0,sao paulo
2010-02-05,91.3,68.7,78.1,68.9,0.079,100,4.17,0,16.4,1016.3,10.0,sao paulo
2010-02-06,90.2,72.2,78.2,67.8,1.5,100,4.17,0,13.4,1015.5,10.0,sao paulo
