datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex,name
2010-01-01,64.4,47.4,57.7,95.0,0.03,100,8.33,rain,14.5,1016.9,3,polk fl
2010-01-02,57.3,35.7,45.8,66.7,0.0,0,0.0,,13.9,1021.3,7,polk fl
2010-01-03,44.6,35.0,40.3,58.5,0.0,0,0.0,,10.1,1021.0,3,polk fl
2010-01-04,50.8,28.5,38.2,54.1,0.0,0,0.0,,13.0,1020.3,7,polk fl
2010-01-05,46.5,27.0,36.0,63.0,0.0,0,0.0,,15.9,1022.6,7,polk fl
2010-01-06,50.0,26.6,38.0,52.1,0.0,0,0.0,,9.2,1024.1,7,polk fl
2010-01-07,60.6,26.6,42.4,56.5,0.017,100,4.17,rain,5.7,1022.7,7,polk fl
2010-01-08,61.7,34.5,47.7,82.2,0.0,0,0.0,,12.5,1019.0,6,polk fl
2010-01-09,42.8,30.2,35.4,74.0,0.0,0,0.0,,11.4,1022.8,3,polk fl
2010-01-10,44.5,26.6,34.2,55.3,0.0,0,0.0,,13.7,1028.3,7,polk fl
2010-01-11,53.6,27.3,38.6,51.9,0.0,0,0.0,,9.1,1030.4,7,polk fl
2010-01-12,57.2,29.9,43.0,67.9,0.0,0,0.0,,13.9,1027.2,7,polk fl
2010-01-13,59.0,36.5,46.3,61.0,0.0,0,0.0,,6.9,1026.8,7,polk fl
2010-01-14,69.8,39.2,53.7,65.8,0.0,0,0.0,,8.1,1024.8,7,polk fl
2010-01-15,75.2,45.5,60.4,77.8,0.0,0,0.0,,12.8,1022.6,7,polk fl
2010-01-16,75.2,59.9,67.7,83.1,0.063,100,8.33,rain,18.3,1017.7,6,polk fl
2010-01-17,73.4,60.8,68.1,78.7,0.091,100,8.33,rain,23.0,1013.5,6,polk fl
2010-01-18,66.2,50.0,57.1,77.7,0.0,0,0.0,,13.9,1018.0,5,polk fl
2010-01-19,69.8,46.4,56.0,76.0,0.0,0,0.0,,6.9,1019.1,7,polk fl
2010-01-20,73.4,45.3,59.0,70.4,0.0,0,0.0,,8.6,1016.9,7,polk fl
2010-01-21,80.6,59.7,69.8,78.8,0.0,0,0.0,,19.5,1012.0,6,polk fl
2010-01-22,75.2,60.7,70.5,86.6,0.414,100,8.33,rain,16.8,1010.7,7,polk fl
2010-01-23,75.3,55.4,64.9,78.7,0.0,0,0.0,,12.7,1014.3,7,polk fl
2010-01-24,80.6,63.5,71.0,78.4,0.0,0,0.0,,17.2,1011.1,7,polk fl
2010-01-25,73.4,51.7,64.9,69.2,0.17,100,12.5,rain,18.3,1011.2,7,polk fl
2010-01-26,69.8,42.5,55.0,68.5,0.0,0,0.0,,16.1,1021.2,8,polk fl
2010-01-27,66.2,41.5,53.4,57.4,0.0,0,0.0,,10.1,1025.1,8,polk fl
2010-01-28,71.6,42.5,56.5,66.4,0.0,0,0.0,,9.2,1024.5,8,polk fl
