name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex
sao paulo,2020-01-01,90.6,70.5,78.7,65.1,0.039,100,4.17,rain,13.2,1011.3,10
sao paulo,2020-01-02,83.1,69.1,73.3,80.7,0.118,100,8.33,rain,12.1,1011.8,8
sao paulo,2020-01-03,74.4,66.2,69.3,82.9,0,0,0,,14.5,1014.6,7
sao paulo,2020-01-04,78.8,66.1,69.9,81.5,0.039,100,4.17,rain,12.4,1012.8,8
sao paulo,2020-01-05,77.4,66.1,70,84.4,0.197,100,4.17,rain,15.3,1011.4,7
sao paulo,2020-01-06,86,66.1,75.8,71,0,0,0,,14.5,1011.8,10
sao paulo,2020-01-07,88.8,69,79,67.2,0.394,100,4.17,rain,16.2,1013.6,10
sao paulo,2020-01-08,86,69,75.7,80.7,1.811,100,8.33,rain,13.7,1014.6,7
sao paulo,2020-01-09,84.2,69.8,76.1,80.2,0,0,0,,14.5,1015.4,6
sao paulo,2020-01-10,87,73.3,79.4,72.3,0,0,0,,10.2,1014.7,9
sao paulo,2020-01-11,89.6,75.1,80.8,69.7,0.047,100,4.17,rain,15.3,1013.9,8
sao paulo,2020-01-12,79.8,70.8,75.2,83.7,0.039,100,4.17,rain,11.2,1016.7,6
sao paulo,2020-01-13,76.5,68,71.4,82.1,0.048,100,16.67,rain,11.9,1018.4,5
sao paulo,2020-01-14,78.1,66.1,71.3,79,0,0,0,,13.3,1018.1,3
sao paulo,2020-01-15,87.8,68.7,77.2,70,0,0,0,,12,1015.7,9
sao paulo,2020-01-16,89.3,71.6,78.6,73.8,0.158,100,8.33,rain,17.5,1016.9,10
sao paulo,2020-01-17,70.8,63.6,67.5,86.4,1.102,100,4.17,rain,16.8,1021.5,4
sao paulo,2020-01-18,73.5,62.7,67.8,82.4,0,0,0,,13.8,1021.7,6
sao paulo,2020-01-19,77.3,66.2,70.1,81.7,0,0,0,,11.8,1018.9,5
sao paulo,2020-01-20,76.2,66.3,70.2,77.1,0,0,0,,16,1016.3,8
sao paulo,2020-01-21,80.9,60.7,69.7,74.5,0,0,0,,13.6,1013.4,10
sao paulo,2020-01-22,77.3,64.4,69.2,78.7,0,0,0,,15,1012.6,8
sao paulo,2020-01-23,69.8,65.2,67.1,82.8,0,0,0,,8.6,1011.1,6
sao paulo,2020-01-24,73.4,64.3,66.9,85.4,0.078,100,8.33,rain,13.8,1009.6,7
sao paulo,2020-01-25,79.8,62.5,69.3,75.5,0,0,0,,12.7,1012.9,10
sao paulo,2020-01-26,85.2,59.7,74,56.4,0,0,0,,12.7,1014.7,10
sao paulo,2020-01-27,89.6,60.4,77.1,40.8,0,0,0,,11,1014.7,10
sao paulo,2020-01-28,88.8,65.6,76.4,58,0,0,0,,13.6,1015.4,8
sao paulo,2020-01-29,87.8,68.7,78.5,67.4,0,0,0,,13.2,1016,10
sao paulo,2020-01-30,87,72.6,77,75.2,0.315,100,8.33,rain,20.5,1016.8,9
sao paulo,2020-01-31,83.4,71.5,76.8,73.9,0,0,0,,15.2,1016.6,6
sao paulo,2020-02-01,82.4,69.8,73.8,85.7,0.59,100,8.33,rain,10.2,1017.5,8
sao paulo,2020-02-02,80.1,69,72.7,85.1,0.669,100,4.17,rain,12.4,1018.1,3
sao paulo,2020-02-03,78,66.2,70,89.6,0.315,100,4.17,rain,11.9,1017.7,3
sao paulo,2020-02-04,78,66.2,71.5,85.6,0.012,100,4.17,rain,13.6,1017.4,6
sao paulo,2020-02-05,81.6,69.8,73.2,83.3,0.236,100,12.5,rain,13.4,1016.7,4
sao paulo,2020-02-06,81.3,68,72.8,82.8,0.197,100,4.17,rain,8.1,1017,5
sao paulo,2020-02-07,81.3,69.7,74.3,74.4,0.039,100,4.17,rain,9.5,1016.1,6
sao paulo,2020-02-08,85.3,68,75.7,72.2,0,0,0,,12.3,1015.6,8
sao paulo,2020-02-09,84.2,71.5,75.9,73.5,0.079,100,4.17,rain,16.3,1015.3,8
sao paulo,2020-02-10,69.9,64.4,68.1,92.7,0.354,100,8.33,rain,12.4,1017.5,2
sao paulo,2020-02-11,69.6,60.9,65.2,85.3,0,0,0,,13.8,1019.2,2
sao paulo,2020-02-12,69,62.7,65.4,86.5,0,0,0,,13.7,1018.6,5
sao paulo,2020-02-13,78,64.4,69.7,81.4,0,0,0,,13.9,1017.8,8
sao paulo,2020-02-14,79.8,62.5,69.9,78.7,0,0,0,,13.3,1017.8,8
sao paulo,2020-02-15,87.1,66.1,74.5,72.7,0,0,0,,12.7,1016.3,10
sao paulo,2020-02-16,87.8,69.7,75.3,77,0,0,0,,13.1,1015.9,10
sao paulo,2020-02-17,87,69.8,76.4,76.6,0,0,0,,15,1015.8,9
sao paulo,2020-02-18,88.8,70.5,78,74.3,0,0,0,,14.6,1016,9
sao paulo,2020-02-19,87.9,71.6,77.3,75.2,0.709,100,4.17,rain,13.8,1014.2,10
sao paulo,2020-02-20,84.2,71.6,76.8,77.1,0,0,0,,11.3,1014,9
sao paulo,2020-02-21,73.6,69,72.1,84.2,0,0,0,,9.6,1015.7,3
sao paulo,2020-02-22,69.7,63.5,66.1,86.2,0.039,100,4.17,rain,12.3,1018.6,5
sao paulo,2020-02-23,71.8,60.8,65.3,80.7,0,0,0,,13.6,1020.7,5
sao paulo,2020-02-24,78.8,64.4,69.7,80,0.394,100,4.17,rain,10.2,1017.8,6
sao paulo,2020-02-25,84.2,67.2,73.5,81.5,0.472,100,4.17,rain,13.8,1015.7,9
sao paulo,2020-02-26,76.8,66.4,72,88.4,0.433,100,8.33,rain,15.5,1012.2,9
sao paulo,2020-02-27,69.8,60.8,64.4,86.7,1.102,100,4.17,rain,12.5,1016.7,4
