Date,CA - ETo (in),CA - Precip (in),CA - Sol Rad (Ly/day),CA - Avg Vap Pres (mBars),CA - Max Air Temp (F),CA - Min Air Temp (F),CA - Avg Air Temp (F),CA - Max Rel Hum (%),CA - Min Rel Hum (%),CA - Avg Rel Hum (%),CA - Dew Point (F),CA - Avg Wind Speed (mph),CA - Wind Run (miles),CA - Avg Soil Temp (F)
2010-01-01,0.02375,0.0025,133.875,9.45,57.5375,37.625,45.4625,97.375,71.5,91.25,43.0125,2.6625,64.1125,49.5
2010-01-02,0.02375,0.00625,114.375,8.575,51.0,37.371428571428574,40.7875,96.875,79.5,89.875,38.6875,3.025,72.325,49.4375
2010-01-03,0.02125,0.00125,117.5,9.3125,52.7,39.971428571428575,43.5375,97.5,79.375,91.5,42.125,3.475,83.2125,50.3375
2010-01-04,0.01125,0.00375,75.125,8.4125,46.2625,37.385714285714286,41.075,98.375,87.0,92.75,39.7125,2.775,66.1625,49.7875
2010-01-05,0.00875,0.0,81.125,8.3125,46.2875,36.3375,41.4,96.625,84.375,92.75,39.6125,2.9875,71.925,49.5625
2010-01-06,0.01375,0.005,97.75,8.0625,47.3,36.925,41.775,95.0,79.125,89.5,38.95,2.7625,66.4875,49.3
2010-01-07,0.0125,0.00125,87.625,8.025,46.7875,33.9625,40.325,97.125,84.5,94.0,38.8125,2.8375,68.3875,48.5625
2010-01-08,0.01375,0.00375,95.5,8.425,48.3125,38.714285714285715,40.525,97.625,86.25,94.5,39.7125,3.375,80.9625,48.85
2010-01-09,0.01125,0.00375,75.125,8.175,45.225,38.3,36.0,98.5,90.5,95.875,37.4,3.1875,76.675,48.8
2010-01-10,0.0125,0.0025,76.875,8.2125,47.471428571428575,42.4,44.228571428571435,97.5,90.125,94.14285714285714,42.7,3.175,76.125,49.3875
2010-01-11,0.0225,0.00125,125.375,9.1125,53.7125,42.0,39.5125,97.75,80.375,93.5,41.1,4.4,105.825,49.725
2010-01-12,0.03375,0.06375,116.0,11.0125,65.425,40.475,53.9875,95.75,56.375,77.625,47.0375,4.8125,115.8375,50.075
2010-01-13,0.06625,0.2475,248.0,11.675,63.075,44.25,54.175,96.25,59.0,81.25,48.6,5.95,142.8625,51.725
2010-01-14,0.04875,0.005,228.125,9.775,57.6125,37.6375,46.5,98.125,72.5,90.75,43.8875,3.775,90.85,50.675
2010-01-15,0.03375,0.005,172.0,10.0125,57.075,38.3375,46.6625,98.25,73.5,92.5,44.575,3.375,80.7625,50.375
2010-01-16,0.045,0.0025,185.5,10.1,61.8875,41.8625,50.025,97.625,56.625,82.75,44.8,3.175,76.5375,50.9
2010-01-17,0.01625,0.37625,77.625,10.6,57.975,41.2625,49.1875,97.125,67.875,88.75,46.0,5.4875,131.65,50.6125
2010-01-18,0.025,0.4325,85.0,11.0625,60.025,46.975,51.375,95.75,66.25,85.5,47.2,8.3375,200.2375,51.05
2010-01-19,0.02625,0.36,81.25,9.8375,55.275,43.75,48.8,94.375,67.375,83.875,44.0625,9.1625,219.775,50.3875
2010-01-20,0.025,0.4525,71.875,9.775,55.075,43.8375,48.5,93.0,69.375,84.125,43.9375,10.75,257.9875,49.7
2010-01-21,0.0075,0.39375,48.0,9.0625,49.5125,39.975,44.95,95.25,79.125,89.125,41.9,5.85,140.45,48.7125
2010-01-22,0.0287499999999999,0.08,140.25,8.8,51.525,37.5875,44.5625,96.375,73.5,88.0,41.175,4.45,106.575,48.6875
2010-01-23,0.05875,0.01,269.0,8.3375,56.7375,33.825,43.9875,97.625,60.25,85.25,39.825,3.3625000000000003,80.65,48.3
2010-01-24,0.03375,0.00375,164.5,8.775,53.75,33.85,44.575,97.5,69.875,87.625,41.1125,3.4375,82.1125,48.025
2010-01-25,0.02,0.0375,100.75,9.8375,53.6375,39.6625,48.125,96.625,75.25,85.75,44.025,5.1375,123.6,48.6875
2010-01-26,0.02,0.05625,102.0,10.2625,56.8125,43.825,49.6875,94.375,70.0,84.75,45.2125,4.4875,107.6625,49.3125
2010-01-27,0.03875,0.00125,175.625,10.4875,56.3875,41.75,49.0125,95.5,72.5,88.625,45.7375,3.475,83.25,50.175
2010-01-28,0.05875,0.00875,262.75,10.0125,59.95,38.4,48.25,96.5,63.75,87.0,44.5125,2.425,58.8125,50.275
2010-01-29,0.0625,0.01375,241.625,10.175,63.900000000000006,39.5375,50.0875,96.25,53.875,82.75,44.975,3.7,88.6625,50.375
2010-01-30,0.07375,0.02375,289.875,10.2125,61.05,41.1875,50.9,94.25,58.5,80.25,45.0875,3.6375,87.4625,51.1625
2010-01-31,0.05625,0.0025,251.0,9.25,58.8875,35.2125,46.0875,96.0,64.875,87.125,42.425,2.7125,65.275,50.325
2010-02-01,0.0525,0.00125,227.75,9.975,60.425,38.2125,48.6,96.0,64.625,85.625,44.4875,2.8,67.2625,49.9625
2010-02-02,0.035,0.00125,180.375,10.6,58.2,42.4875,49.375,96.0,72.0,88.375,46.0375,2.7625,65.95,50.6625
2010-02-03,0.04,0.00625,205.75,10.4,59.225,40.175,48.3625,97.25,70.875,89.875,45.525,2.525,60.625,50.75
2010-02-04,0.04125,0.02,146.375,10.675,60.3625,42.2,51.5125,96.5,61.5,81.875,46.175,5.4625,131.325,50.7875
2010-02-05,0.035,0.105,154.625,12.425,60.1125,49.7375,54.025,95.0,74.0,87.25,50.3125,6.025,144.4125,51.8875
2010-02-06,0.00875,0.27125,78.25,11.475,54.35,45.55,50.55,95.75,81.875,91.5,48.1625,4.15,99.7375,52.1375
2010-02-07,0.03125,0.00625,159.125,10.5625,55.2875,41.925,49.2375,95.125,77.125,88.375,45.9375,3.325,80.0625,51.4125
2010-02-08,0.0375,0.025,182.625,10.9125,58.525,45.75,50.9625,95.625,68.125,85.75,46.8375,2.375,56.8125,51.375
2010-02-09,0.02625,0.25875,133.75,10.05,53.3125,40.275,48.125,95.0,74.5,87.625,44.625,4.8625,116.8375,51.3875
2010-02-10,0.06125,0.0,288.0,9.6125,59.075,40.3125,48.75,95.25,61.375,81.75,43.475,3.0625,73.65,51.3
2010-02-11,0.06,0.00125,260.875,9.7875,59.15,40.1375,49.0625,95.75,61.875,82.75,43.9625,3.1,74.4,51.3
2010-02-12,0.08,0.0025,336.0,10.1375,64.7125,38.1,50.7,95.875,55.5,80.125,44.8625,2.6625,64.0625,51.225
2010-02-13,0.07625,0.00125,327.625,10.95,64.0375,39.3,51.175,96.625,63.875,85.125,46.875,2.575,61.974999999999994,51.475
2010-02-14,0.07875,0.00375,323.25,11.2875,65.0125,39.4375,51.337500000000006,96.75,65.625,87.625,47.75,2.5625,61.3,51.7625
2010-02-15,0.07625,0.0,310.0,11.7625,65.65,42.875,53.1,96.625,62.5,85.125,48.8,2.6,62.825,52.2875
2010-02-16,0.0825,0.00125,311.5,12.1875,66.75,43.1125,54.2875,96.5,63.125,84.75,49.775,2.725,65.4375,52.65
2010-02-17,0.085,0.0025,339.125,12.4125,70.1625,41.1375,54.6125,96.875,60.375,85.125,50.25,2.3375,56.0875,52.8875
2010-02-18,0.07,0.02,291.625,13.1125,68.1375,44.35,55.9,96.875,66.875,86.25,51.75,2.95,70.6625,53.325
2010-02-19,0.04375,0.01375,181.375,11.925,61.0125,47.775,53.6125,95.75,68.625,85.125,49.1875,4.0125,96.575,53.5625
2010-02-20,0.065,0.0375,253.75,11.025,61.7125,44.9875,52.975,94.25,59.875,80.375,47.0625,5.05,120.9125,53.65
2010-02-21,0.0275,0.175,146.375,10.7875,55.3375,44.325,49.8625,96.125,73.375,88.25,46.5,3.95,95.4375,53.0125
2010-02-22,0.065,0.00375,280.625,9.5,56.6625,40.425,48.0,96.25,60.125,83.375,43.175,5.1875,124.475,52.5875
2010-02-23,0.0275,0.425,139.25,9.7,55.1125,37.4125,47.0875,95.875,71.5,88.25,43.725,5.275,126.6875,51.4
2010-02-24,0.0475,0.27375,207.75,12.2875,62.4,47.15,52.75,95.375,77.875,90.25,50.0,6.0625,145.8875,52.0125
2010-02-25,0.0625,0.00375,269.375,11.6625,60.7125,43.9375,51.5375,96.625,72.75,89.5,48.5375,3.775,90.3625,52.625
2010-02-26,0.04875,0.29375,152.0,11.775,65.2125,44.425,54.1125,96.5,60.25,82.875,48.825,6.8,163.2875,52.575
2010-02-27,0.04875,0.21625,207.875,11.4625,59.4875,45.8125,52.0125,94.5,67.625,86.625,48.125,6.3875,153.2875,53.3875
2010-02-28,0.0925,0.0,362.125,11.0,64.025,42.2,52.6625,95.875,58.5,80.75,46.975,3.1375,75.2125,53.35
