Florida_Forecast,California_Forecast,Date,California_Forecast_Increase
135000,55000.0,2009-12-31,
135000,55000.0,2010-01-31,0.0
129000,55000.0,2010-02-28,0.0
131000,51000.0,2010-03-31,0.0
131600,59000.0,2010-04-30,4000.0
131600,59000.0,2010-05-31,0.0
133600,60000.0,2010-06-30,0.0
133600,55500.0,2010-07-31,-1000.0
146000,60500.0,2010-10-31,2500.0
143000,60500.0,2010-12-31,0.0
140000,60500.0,2011-01-31,0.0
138000,61500.0,2011-02-28,0.0
142000,58000.0,2011-03-31,-1000.0
142000,61000.0,2011-04-30,1500.0
140000,61000.0,2011-05-31,0.0
140000,61000.0,2011-06-30,0.0
139000,61500.0,2011-07-31,0.0
146000,60500.0,2011-10-31,-500.0
143000,60500.0,2011-12-31,0.0
140000,60500.0,2012-01-31,0.0
138000,61500.0,2012-02-29,0.0
142000,58000.0,2012-03-31,-1000.0
142000,61000.0,2012-04-30,1500.0
140000,61000.0,2012-05-31,0.0
140000,61000.0,2012-06-30,0.0
139000,62500.0,2012-07-31,0.0
154000,59500.0,2012-10-31,-1500.0
154000,59500.0,2012-11-30,0.0
146000,59500.0,2012-12-31,0.0
142000,59500.0,2013-01-31,0.0
141000,60000.0,2013-02-28,0.0
139000,60000.0,2013-03-31,-500.0
138000,58000.0,2013-04-30,-1000.0
138000,58000.0,2013-05-31,0.0
134000,58500.0,2013-06-30,0.0
133400,58500.0,2013-07-31,-500.0
125000,56500.0,2013-11-30,-1000.0
121000,59500.0,2013-12-31,0.0
115000,53500.0,2014-01-31,-3000.0
115000,53000.0,2014-02-28,0.0
114000,54000.0,2014-03-31,500.0
110000,54000.0,2014-04-30,0.0
110300,54000.0,2014-05-31,0.0
104300,54000.0,2014-06-30,0.0
104400,57500.0,2014-07-31,0.0
108000,50500.0,2014-10-31,-3500.0
108000,50500.0,2014-11-30,0.0
108000,51000.0,2014-12-31,0.0
103000,50000.0,2015-01-31,-500.0
103000,50000.0,2015-02-28,0.0
102000,50000.0,2015-03-31,0.0
102000,50000.0,2015-04-30,0.0
96400,50000.0,2015-05-31,0.0
