name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex
sao paulo,2024-01-01,75.2,64.4,69.7,72.9,0,0,0,,12.7,1017.1,4
sao paulo,2024-01-02,81.7,66.9,72,72.8,0,0,0,rain,12.9,1015,8
sao paulo,2024-01-03,85,68.8,73.4,77.4,0.012,100,8.33,rain,14.6,1013.5,8
sao paulo,2024-01-04,75.2,67.8,70.5,87.6,0.551,100,8.33,rain,14.5,1014.6,3
sao paulo,2024-01-05,80.9,66.2,71.2,79.2,0,0,0,rain,14.2,1015.2,8
sao paulo,2024-01-06,80.9,66.2,72.1,73.7,0,0,0,rain,12.9,1015.9,9
sao paulo,2024-01-07,89.6,68,75.9,67.6,0,0,0,,11.3,1015.4,8
sao paulo,2024-01-08,90.6,70.6,77.2,67.8,1.299,100,8.33,rain,18.5,1014.8,8
sao paulo,2024-01-09,90.3,69.8,76.6,68.6,0.827,100,4.17,rain,16.6,1016.6,8
sao paulo,2024-01-10,90.6,69.6,77.8,70.7,0.197,100,4.17,rain,14.8,1016.3,8
sao paulo,2024-01-11,86.8,71.5,77.7,71.4,1.359,100,8.33,rain,17.1,1014.6,8
sao paulo,2024-01-12,82,69.8,74,83.5,1.693,100,4.17,rain,11.1,1014.4,8
sao paulo,2024-01-13,71.9,65.4,68.7,86,0.484,100,8.33,rain,12.5,1018.1,5
sao paulo,2024-01-14,86.3,62.7,73.5,74,0,0,0,rain,10,1017.8,8
sao paulo,2024-01-15,86.9,71.6,79,69.7,0,0,0,rain,12.4,1017,8
sao paulo,2024-01-16,89.7,74.2,82.2,61.1,0,0,0,,13.7,1016.6,9
sao paulo,2024-01-17,90.6,74.2,80.4,68,0.118,100,4.17,rain,15,1017.3,8
sao paulo,2024-01-18,90.7,73.3,78.8,73.3,0,0,0,,12.7,1016.2,8
sao paulo,2024-01-19,86,69.5,76.3,72.6,1.299,100,4.17,rain,14.6,1014.6,7
sao paulo,2024-01-20,80.6,69.8,74.4,81.4,0.866,100,4.17,rain,16.1,1012.9,9
sao paulo,2024-01-21,79.8,68,71.2,85,0.354,100,8.33,rain,10.6,1015.1,7
sao paulo,2024-01-22,75.2,66.2,69.5,80.9,0.024,100,4.17,rain,14.8,1018.1,9
sao paulo,2024-01-23,68,62.6,64.8,87.9,0.953,100,12.5,rain,13.6,1016.9,3
sao paulo,2024-01-24,73.4,60.7,65.7,82.5,0,0,0,rain,16.9,1014.5,8
sao paulo,2024-01-25,69,60.8,64.4,85.8,0.028,100,8.33,rain,14.6,1015,5
sao paulo,2024-01-26,70.9,60.9,65.4,82.6,0,0,0,rain,13.6,1016.4,8
sao paulo,2024-01-27,78.5,64.4,68.6,82.5,0.787,100,4.17,rain,11,1016.2,8
sao paulo,2024-01-28,76,62.6,68.7,80.8,0.984,100,4.17,rain,8.1,1017.2,6
sao paulo,2024-01-29,83.2,61.6,73.1,68.1,0,0,0,,12.9,1016.3,8
sao paulo,2024-01-30,88.1,65.6,76.8,63.2,0,0,0,,10.8,1015.6,8
sao paulo,2024-01-31,83.9,66,73.4,69.3,0.319,100,8.33,rain,11.4,1017.2,8
sao paulo,2024-02-01,80.6,63.3,70.8,75.1,0.197,100,8.33,rain,11,1019.6,8
sao paulo,2024-02-02,74.5,64.4,68.7,84.4,0.276,100,4.17,rain,9.2,1021.3,3
sao paulo,2024-02-03,79.5,66.2,72.4,79.2,0,0,0,rain,9.3,1020.6,5
sao paulo,2024-02-04,83.4,66.9,72.1,77,0.866,100,8.33,rain,17.9,1019.8,7
sao paulo,2024-02-05,86,62.3,74.3,65.6,0,0,0,,11.7,1018.8,7
sao paulo,2024-02-06,84.4,66.6,75.3,68,0,0,0,rain,12.9,1019.6,10
sao paulo,2024-02-07,87.8,67.9,75.2,72.5,0,0,0,rain,14.7,1017.7,7
sao paulo,2024-02-08,87,66.7,76.4,70.7,0,0,0,,12.9,1016.7,5
sao paulo,2024-02-09,87.3,68.7,76.5,71,0,0,0,rain,14.6,1018.1,8
sao paulo,2024-02-10,86.8,69.7,76.2,71.6,0,0,0,rain,13.6,1019.7,7
sao paulo,2024-02-11,90.2,67.9,76.9,69.5,0,0,0,,11.9,1019.7,8
sao paulo,2024-02-12,87.8,71.5,79.5,62.1,0,0,0,,14.3,1019.9,10
sao paulo,2024-02-13,90.3,69.8,81,60.2,0,0,0,,14.8,1019,9
sao paulo,2024-02-14,76.3,68,72.1,87.6,1.259,100,12.5,rain,11.9,1018.9,2
sao paulo,2024-02-15,71.9,66.1,68.4,89.9,0.315,100,8.33,rain,12.4,1019.3,4
sao paulo,2024-02-16,77,64.5,69.6,80.6,0,0,0,rain,12.8,1018,4
sao paulo,2024-02-17,80.7,65.1,71.2,77.4,0,0,0,rain,16.5,1015.9,7
sao paulo,2024-02-18,81.6,65.2,70.5,83.2,1.142,100,4.17,rain,14.2,1014.2,9
sao paulo,2024-02-19,80.6,64.9,72.1,80.5,0,0,0,rain,12.4,1012,7
sao paulo,2024-02-20,78.4,67.2,70.7,85.3,0.709,100,4.17,rain,11.1,1010.8,8
