Month,Year,Brazil_Forecast
12,25,223140
9,25,215780
5,24,232380
4,24,307220
2,24,307220
12,24,307220
9,24,309340
5,23,309340
4,23,314210
2,23,316230
2,23,316230
12,23,314110
9,23,314090
5,22,316950
4,22,262970
2,22,264140
12,22,264140
9,22,267870
5,21,294170
4,21,268630
2,21,269010
12,21,269360
9,21,286720
5,20,287760
4,20,386790
2,20,384870
12,20,385310
9,20,388420
5,19,388890
4,19,285980
2,19,284880
12,19,275750
9,19,273340
5,18,288290
4,18,398350
2,18,397270
12,18,385200
9,18,374060
5,17,364470
4,17,245310
2,17,244200
12,17,244200
9,17,249040
5,16,245740
4,16,300650
2,16,289920
12,16,286140
9,16,278990
5,15,278990
