Month,Year,Florida_Forecast,California_Forecast
7,24,"17,960","47,500"
6,24,"17,860","46,000"
5,24,"17,800","46,000"
4,24,"18,800","46,000"
3,24,"19,800","46,000"
2,24,"19,800","45,800"
1,24,"20,500","45,800"
12,24,"20,500","44,500"
11,24,"20,500","44,500"
10,24,"20,500","44,500"
7,23,"15,850","44,000"
6,23,"15,750","45,100"
5,23,"15,650","45,100"
4,23,"16,100","45,100"
3,23,"16,100","46,100"
2,23,"16,000","46,100"
1,23,"18,000","46,100"
12,23,"20,000","47,100"
11,23,"28,000","47,100"
10,23,"28,000","47,100"
7,22,"40,950","49,000"
6,22,"40,700","51,300"
5,22,"40,200","51,300"
4,22,"38,200","51,300"
3,22,"41,200","47,600"
2,22,"43,500","47,600"
1,22,"44,500","47,600"
12,22,"46,000","43,500"
11,22,"47,000","43,500"
10,22,"47,000","43,500"
7,21,"52,800","54,500"
6,21,"52,700","52,000"
5,21,"51,700","52,000"
4,21,"51,700","52,000"
3,21,"55,500","52,000"
2,21,"56,000","51,000"
1,21,"54,000","51,000"
12,21,"56,000","50,500"
11,21,"57,000","50,500"
10,21,"57,000","50,500"
7,20,"67,650","51,000"
6,20,"67,650","48,500"
5,20,"69,650","48,500"
4,20,"70,000","48,500"
3,20,"71,000","48,500"
2,20,"72,000","49,000"
1,20,"74,000","49,000"
12,20,"74,000","47,000"
11,20,"74,000","47,000"
10,20,"74,000","47,000"
10,19,79000,49000
11,19,77000,49000
12,19,77000,49000
1,19,77000,49000
2,19,77000,49000
3,19,77000,49500
4,19,76500,49000
5,19,72400,49000
6,19,71400,49000
7,19,71600,50000
10,18,54000,46000
11,18,50000,46000
12,18,46000,46000
1,18,46000,46000
2,18,45000,46000
3,18,45000,44500
4,18,45000,44500
5,18,44950,44500
6,18,44950,44500
7,18,44950,44000
10,17,70000,50500
11,17,72000,50500
12,17,72000,50500
1,17,71000,53000
2,17,70000,53000
3,17,67000,51800
4,17,67000,51000
5,17,68000,51000
6,17,68500,51000
7,17,68700,48000
10,16,80000,52500
11,16,74000,52500
12,16,69000,52500
1,16,69000,52000
2,16,69000,52000
3,16,71000,52500
4,16,76000,52500
5,16,81100,52500
6,16,81400,52500
7,16,81500,54500
7,15,"96,700","49,000"
6,15,"96,400","50,000"
5,15,"96,400","50,000"
4,15,"102,000","50,000"
3,15,"102,000","50,000"
2,15,"103,000","50,000"
1,15,"103,000","50,000"
12,15,"108,000","50,500"
11,15,"108,000","50,500"
10,15,"108,000","50,500"
7,14,"104,400","54,000"
6,14,"104,300","54,000"
5,14,"110,300","54,000"
4,14,"110,000","54,000"
3,14,"114,000","54,000"
2,14,"115,000","53,500"
1,14,"115,000","53,500"
12,14,"121,000","56,500"
11,14,"125,000","56,500"
7,13,"133,400","57,500"
6,13,"134,000","58,000"
5,13,"138,000","58,000"
4,13,"138,000","58,000"
3,13,"139,000","59,000"
2,13,"141,000","59,500"
1,13,"142,000","59,500"
12,13,"146,000","59,500"
11,13,"154,000","59,500"
10,13,"154,000","59,500"
10,12,146000,60500
12,12,143000,60500
1,12,140000,60500
2,12,138000,60500
3,12,142000,59500
4,12,142000,61000
5,12,140000,61000
6,12,140000,61000
7,12,139000,61000
10,11,146000,60500
12,11,143000,60500
1,11,140000,60500
2,11,138000,60500
3,11,142000,59500
4,11,142000,61000
5,11,140000,61000
6,11,140000,61000
7,11,139000,61000
1,10,135000,55000
2,10,129000,55000
3,10,131000,55000
4,10,131600,59000
5,10,131600,59000
6,10,133600,59000
7,10,133600,58000
12,10,"135,000","55,000"
